Date,Open,High,Low,Close,Adj Close,Volume,Name
8/03/2022,795.530.029,849.989.990,782.169.983,824.400.024,824.400.024,26799700,TLSA
9/03/2022,839.479.980,860.559.998,832.010.010,858.969.971,858.969.971,19728000,TLSA
10/03/2022,851.450.012,854.450.012,810.359.985,838.299.988,838.299.988,19549500,TLSA
11/03/2022,840.200.012,843.799.988,793.770.020,795.349.976,795.349.976,22272800,TLSA
14/03/2022,780.609.985,800.700.012,756.039.978,766.369.995,766.369.995,23717400,TLSA
15/03/2022,775.270.020,805.570.007,756.570.007,801.890.015,801.890.015,22280400,TLSA
16/03/2022,809.000.000,842.000.000,802.260.010,840.229.980,840.229.980,28009600,TLSA
17/03/2022,830.989.990,875.000.000,825.719.971,871.599.976,871.599.976,22194300,TLSA
18/03/2022,874.489.990,907.849.976,867.390.015,905.390.015,905.390.015,33408500,TLSA
18/03/2022,874.489.990,907.849.976,867.400.024,905.390.015,905.390.015,33507638,TLSA
